Date_start,Date_end,Duration,Total_Ah,Power_kW
1/1/2017 0:00,1/1/2017 1:00,,196.78,42.99643
1/1/2017 1:00,1/1/2017 2:00,,195.661,42.7519285
1/1/2017 2:00,1/1/2017 3:00,,196.164,42.861834
1/1/2017 3:00,1/1/2017 4:00,,193.674,42.317769
1/1/2017 4:00,1/1/2017 5:00,,195.21,42.653385
1/1/2017 5:00,1/1/2017 6:00,,194.223,42.4377255
1/1/2017 6:00,1/1/2017 7:00,,193.626,42.307281
1/1/2017 7:00,1/1/2017 8:00,,213.935,46.7447975
1/1/2017 8:00,1/1/2017 9:00,,212.914,46.521709
1/1/2017 9:00,1/1/2017 10:00,,213.062,46.554047
1/1/2017 10:00,1/1/2017 11:00,,213.682,46.689517
1/1/2017 11:00,1/1/2017 12:00,,213.895,46.7360575
1/1/2017 12:00,1/1/2017 13:00,,214.98,46.97313
1/1/2017 13:00,1/1/2017 14:00,,218.098,47.654413
1/1/2017 14:00,1/1/2017 15:00,,219.188,47.892578
1/1/2017 15:00,1/1/2017 16:00,,218.702,47.786387
1/1/2017 16:00,1/1/2017 17:00,,219.771,48.0199635
1/1/2017 17:00,1/1/2017 18:00,,220.923,48.2716755
1/1/2017 18:00,1/1/2017 19:00,,222.864,48.695784
1/1/2017 19:00,1/1/2017 20:00,,227.242,49.652377
1/1/2017 20:00,1/1/2017 21:00,,222.466,48.608821
1/1/2017 21:00,1/1/2017 22:00,,204.613,44.7079405
1/1/2017 22:00,1/1/2017 23:00,,202.716,44.293446
1/1/2017 23:00,2/1/2017 0:00,,198.52,43.37662
2/1/2017 0:00,2/1/2017 1:00,,200.813,43.8776405
2/1/2017 1:00,2/1/2017 2:00,,194.862,42.577347
2/1/2017 2:00,2/1/2017 3:00,,194.03,42.395555
2/1/2017 3:00,2/1/2017 4:00,,193.321,42.2406385
2/1/2017 4:00,2/1/2017 5:00,,194.157,42.4233045
2/1/2017 5:00,2/1/2017 6:00,,209.609,45.7995665
2/1/2017 6:00,2/1/2017 7:00,,240.329,52.5118865
2/1/2017 7:00,2/1/2017 8:00,,394.247,86.1429695
2/1/2017 8:00,2/1/2017 9:00,,490.263,107.1224655
2/1/2017 9:00,2/1/2017 10:00,,548.513,119.8500905
2/1/2017 10:00,2/1/2017 11:00,,877.866,191.813721
2/1/2017 11:00,2/1/2017 12:00,,900.035,196.6576475
2/1/2017 12:00,2/1/2017 13:00,,855.991,187.0340335
2/1/2017 13:00,2/1/2017 14:00,,860.284,
2/1/2017 14:00,2/1/2017 15:00,,910.009,
2/1/2017 15:00,2/1/2017 16:00,,914.1,
2/1/2017 16:00,2/1/2017 17:00,,932.079,
2/1/2017 17:00,2/1/2017 18:00,,696.369,152.1566265
2/1/2017 18:00,2/1/2017 19:00,,611.184,133.543704
2/1/2017 19:00,2/1/2017 20:00,,455.097,99.4386945
2/1/2017 20:00,2/1/2017 21:00,,376.625,82.2925625
2/1/2017 21:00,2/1/2017 22:00,,266.531,58.2370235
2/1/2017 22:00,2/1/2017 23:00,,215.825,47.1577625
2/1/2017 23:00,3/1/2017 0:00,,197.703,43.1981055
3/1/2017 0:00,3/1/2017 1:00,,199.402,43.569337
3/1/2017 1:00,3/1/2017 2:00,,193.871,42.3608135
3/1/2017 2:00,3/1/2017 3:00,,191.716,41.889946
3/1/2017 3:00,3/1/2017 4:00,,195.51,42.718935
3/1/2017 4:00,3/1/2017 5:00,,195.019,42.6116515
3/1/2017 5:00,3/1/2017 6:00,,210.256,45.940936
3/1/2017 6:00,3/1/2017 7:00,,225.907,49.3606795
3/1/2017 7:00,3/1/2017 8:00,,396.325,86.5970125
3/1/2017 8:00,3/1/2017 9:00,,499.667,109.1772395
3/1/2017 9:00,3/1/2017 10:00,,573.957,125.4096045
3/1/2017 10:00,3/1/2017 11:00,,972.627,212.5189995
3/1/2017 11:00,3/1/2017 12:00,,883.291,192.9990835
3/1/2017 12:00,3/1/2017 13:00,,927.571,202.6742635
3/1/2017 13:00,3/1/2017 14:00,,930.329,203.2768865
3/1/2017 14:00,3/1/2017 15:00,,962.999,210.4152815
3/1/2017 15:00,3/1/2017 16:00,,933.948,204.067638
3/1/2017 16:00,3/1/2017 17:00,,906.504,198.071124
3/1/2017 17:00,3/1/2017 18:00,,703.228,153.655318
3/1/2017 18:00,3/1/2017 19:00,,634.536,138.646116
3/1/2017 19:00,3/1/2017 20:00,,466.028,101.827118
3/1/2017 20:00,3/1/2017 21:00,,376.957,82.3651045
3/1/2017 21:00,3/1/2017 22:00,,279.921,61.1627385
3/1/2017 22:00,3/1/2017 23:00,,239.364,52.301034
3/1/2017 23:00,4/1/2017 0:00,,222.035,48.5146475
4/1/2017 0:00,4/1/2017 1:00,,221.908,48.486898
4/1/2017 1:00,4/1/2017 2:00,,219.53,47.967305
4/1/2017 2:00,4/1/2017 3:00,,212.722,46.479757
4/1/2017 3:00,4/1/2017 4:00,,212.213,46.3685405
4/1/2017 4:00,4/1/2017 5:00,,203.855,44.5423175
4/1/2017 5:00,4/1/2017 6:00,,225.731,49.3222235
4/1/2017 6:00,4/1/2017 7:00,,246.028,53.757118
4/1/2017 7:00,4/1/2017 8:00,,407.564,89.052734
