Date_start,Date_end,Duration,Total_Ah,Power_kW
1/1/2018 0:00,1/1/2018 1:00,,186.244,40.694314
1/1/2018 1:00,1/1/2018 2:00,,187.51,40.970935
1/1/2018 2:00,1/1/2018 3:00,,188.115,41.1031275
1/1/2018 3:00,1/1/2018 4:00,,187.799,41.0340815
1/1/2018 4:00,1/1/2018 5:00,,185.627,40.5594995
1/1/2018 5:00,1/1/2018 6:00,,182.561,39.8895785
1/1/2018 6:00,1/1/2018 7:00,,191.485,41.8394725
1/1/2018 7:00,1/1/2018 8:00,,233.77,51.078745
1/1/2018 8:00,1/1/2018 9:00,,288.004,62.928874
1/1/2018 9:00,1/1/2018 10:00,,289.633,63.2848105
1/1/2018 10:00,1/1/2018 11:00,,293.574,64.145919
1/1/2018 11:00,1/1/2018 12:00,,292.674,63.949269
1/1/2018 12:00,1/1/2018 13:00,,292.723,63.9599755
1/1/2018 13:00,1/1/2018 14:00,,294.781,64.4096485
1/1/2018 14:00,1/1/2018 15:00,,297.365,64.9742525
1/1/2018 15:00,1/1/2018 16:00,,296.517,64.7889645
1/1/2018 16:00,1/1/2018 17:00,,293.687,64.1706095
1/1/2018 17:00,1/1/2018 18:00,,299.54,65.44949
1/1/2018 18:00,1/1/2018 19:00,,308.064,67.311984
1/1/2018 19:00,1/1/2018 20:00,,290.638,63.504403
1/1/2018 20:00,1/1/2018 21:00,,278.493,60.8507205
1/1/2018 21:00,1/1/2018 22:00,,212.719,46.4791015
1/1/2018 22:00,1/1/2018 23:00,,193.122,42.197157
1/1/2018 23:00,2/1/2018 0:00,,191.647,41.8748695
2/1/2018 0:00,2/1/2018 1:00,,186.52,40.75462
2/1/2018 1:00,2/1/2018 2:00,,183.599,40.1163815
2/1/2018 2:00,2/1/2018 3:00,,185.947,40.6294195
2/1/2018 3:00,2/1/2018 4:00,,186.754,40.805749
2/1/2018 4:00,2/1/2018 5:00,,184.519,40.3174015
2/1/2018 5:00,2/1/2018 6:00,,184.203,40.2483555
2/1/2018 6:00,2/1/2018 7:00,,221.3,48.35405
2/1/2018 7:00,2/1/2018 8:00,,380.938,83.234953
2/1/2018 8:00,2/1/2018 9:00,,477.613,104.3584405
